tf.Tensor(7.6209908, shape=(), dtype=float32)
tf.Tensor(47.886997, shape=(), dtype=float32)
tf.Tensor(19.05344, shape=(), dtype=float32)
tf.Tensor(4.896021, shape=(), dtype=float32)
tf.Tensor(6.7707567, shape=(), dtype=float32)
tf.Tensor(5.765357, shape=(), dtype=float32)
tf.Tensor(10.206689, shape=(), dtype=float32)
tf.Tensor(8.030727, shape=(), dtype=float32)
tf.Tensor(14.677302, shape=(), dtype=float32)
tf.Tensor(26.634731, shape=(), dtype=float32)
tf.Tensor(20.67669, shape=(), dtype=float32)
tf.Tensor(134.07703, shape=(), dtype=float32)
tf.Tensor(150.6346, shape=(), dtype=float32)
tf.Tensor(62.906372, shape=(), dtype=float32)
tf.Tensor(102.783745, shape=(), dtype=float32)
tf.Tensor(58.81363, shape=(), dtype=float32)
tf.Tensor(51.38956, shape=(), dtype=float32)
tf.Tensor(18.096157, shape=(), dtype=float32)
tf.Tensor(18.469608, shape=(), dtype=float32)
tf.Tensor(16.19207, shape=(), dtype=float32)
tf.Tensor(22.610155, shape=(), dtype=float32)
tf.Tensor(45.930866, shape=(), dtype=float32)
tf.Tensor(56.82975, shape=(), dtype=float32)
tf.Tensor(74.82659, shape=(), dtype=float32)
tf.Tensor(110.27562, shape=(), dtype=float32)
tf.Tensor(47.31398, shape=(), dtype=float32)
tf.Tensor(65.213455, shape=(), dtype=float32)
tf.Tensor(64.99146, shape=(), dtype=float32)
tf.Tensor(68.406876, shape=(), dtype=float32)
tf.Tensor(40.09623, shape=(), dtype=float32)
tf.Tensor(55.635178, shape=(), dtype=float32)
tf.Tensor(34.88573, shape=(), dtype=float32)
tf.Tensor(87.704185, shape=(), dtype=float32)
tf.Tensor(77.271835, shape=(), dtype=float32)
tf.Tensor(69.71598, shape=(), dtype=float32)
tf.Tensor(34.131702, shape=(), dtype=float32)
tf.Tensor(77.21884, shape=(), dtype=float32)
tf.Tensor(80.57517, shape=(), dtype=float32)
tf.Tensor(86.34645, shape=(), dtype=float32)
tf.Tensor(36.624706, shape=(), dtype=float32)
tf.Tensor(96.99565, shape=(), dtype=float32)
tf.Tensor(110.6047, shape=(), dtype=float32)
tf.Tensor(94.14881, shape=(), dtype=float32)
tf.Tensor(63.317417, shape=(), dtype=float32)
tf.Tensor(105.899826, shape=(), dtype=float32)
tf.Tensor(95.16481, shape=(), dtype=float32)
tf.Tensor(70.81114, shape=(), dtype=float32)
tf.Tensor(107.79213, shape=(), dtype=float32)
tf.Tensor(83.98212, shape=(), dtype=float32)
tf.Tensor(70.43715, shape=(), dtype=float32)
tf.Tensor(123.61697, shape=(), dtype=float32)
tf.Tensor(115.34616, shape=(), dtype=float32)
tf.Tensor(76.5282, shape=(), dtype=float32)
tf.Tensor(41.165844, shape=(), dtype=float32)
tf.Tensor(164.45651, shape=(), dtype=float32)
tf.Tensor(101.2158, shape=(), dtype=float32)
tf.Tensor(69.97575, shape=(), dtype=float32)
tf.Tensor(127.756454, shape=(), dtype=float32)
tf.Tensor(91.2778, shape=(), dtype=float32)
tf.Tensor(71.325676, shape=(), dtype=float32)
tf.Tensor(125.18103, shape=(), dtype=float32)
tf.Tensor(86.608215, shape=(), dtype=float32)
tf.Tensor(81.88461, shape=(), dtype=float32)
tf.Tensor(101.41058, shape=(), dtype=float32)
tf.Tensor(147.07146, shape=(), dtype=float32)
tf.Tensor(99.52193, shape=(), dtype=float32)
tf.Tensor(84.64636, shape=(), dtype=float32)
tf.Tensor(139.72272, shape=(), dtype=float32)
tf.Tensor(110.92722, shape=(), dtype=float32)
tf.Tensor(107.760025, shape=(), dtype=float32)
tf.Tensor(103.666954, shape=(), dtype=float32)
tf.Tensor(218.93958, shape=(), dtype=float32)
tf.Tensor(103.46062, shape=(), dtype=float32)
